Start Time, 2026-04-01 00:00:00
0MNS36E0,Gadget Organiser,COMPLETED,PLA,2543.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0N5BYLCQC818,FJ Canister Bott,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0OND9C6C2ACT,LunchBox,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0PF9GV6EGKR5,Gizga & Tizum Sleeve,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0PKYSMKZ7EK0,Glass LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0PUTWXH2A0Y5,High Sale Sunglass,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0QR1X84IYSET,gizga cable,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0QTB524HDWF5,Backpack,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0QZVL3QBTGTI,Backpack,COMPLETED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0R9JLLLHAH5Q,Gecko Sleeve,COMPLETED,PLA,,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0RMQSW35I4FM,Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0RS7W1K9O9WZ,Car Charger,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0SXKYX7746ON,C92-C95,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0TJ736RCRUEJ,iPhone Cases,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0TUE3SXOZLKS,New Laptop Sleeve,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0TWR6TC1,CHarger,COMPLETED,PLA,1695.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0USTZDZI,HDD Case,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0VKGMZC38CXU,AirCase Old Sleeve,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0VYZGF2D3MMJ,Passport Holder,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0W08GFAJDUXV,1700ml LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0W9P4RNQN0RA,CPC-Ring Light-Fast Moving-22-11-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
0WBFU6WSLQHF,C51,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0X5CQJ23LT8E,Airsound,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0XHBDHMAUKVA,New backpacks,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0XOLFEKX,Earphone Cases Rvsd,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0XQD3I5N60F5,G83,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0YGQTNQ01FN0,Canister,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0YH9F2B6NCWU,Clone of CPC-SLing Bag-20-8-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
0YJ5NDORCC40,bottel flask,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
0YO62GMXUQJK,Duffel Bag,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
109XIKXK7D9F,bottel,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
10ZKJQ7B,HomePuff Table,ABORTED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
12X07WBEGKY8,Chopping Board,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
13OLDR858VSW,AY_Gizga_Bags_ROI_O,ABORTED,PLA,17000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
15MBA8ICMSSW,Insualted LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
15W8PT4IF8MM,Sunglasses,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
16R7W8B2WJUG,Laptop Bags,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
16TMEW9PF599,H36 37 lunchbox,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
178U24FHURHO,LunchBoxes,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
17FODF42NU2C,Cable Ties,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
18FADI29U40F,New Signature Series,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
18N5IF1F22HQ,Insulated LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
18PH5H2L8YA3,HDD Case,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
18VXEU7Q92LX,Signature Series,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
19FP6IXBV8T3,Stylus Pen-4-02-2025,ABORTED,PLA,6500.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
19HYE1ZR8BQX,Insulated LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1AIYK7PY1XPO,Car Chargers,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1B6C2DJNU4NE,Bottel & Flask,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1B8Q8VTHFDHI,Car Charger,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1BE5BXKPJM4J,Borosilicate LB,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1BE5D7I8,Chargers,COMPLETED,PLA,1695.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1CQJVEZV15HX,Laptop Table,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1D6AKFPSJ3QK,AirSound,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1D7CYEOW1454,H17 & Borosil,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1DFN8R44DR5V,Chopping Board,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1DO5DF2ZJMUH,Old Laptop Sleeve,COMPLETED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1DT8O63SA7JT,AY_Gizga_HCase_CPC,ABORTED,PLA,2500.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1DWTMIBDVOIC,HDD Case,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1E5R0BKNPT70,Low Sale Sunglass,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1E5XN9STCFCB,Signature Series,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1E83N5PKYVVO,Insulated LunchBox,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1EWXIH4KU9XF,AY_Aircase_ROI,ABORTED,PLA,25000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1FGTL70MQF64,canister,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1FSEYBTJUPQQ,Car Holder,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1GFKAQD9CS3H,Tizum Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1I6V3FNF9LKS,Backpack ,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1JGN77UB,Laptop Sleeve,COMPLETED,PLA,4238.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1K9GW11BRFL5,FKSB-ITAcc-Dec-D,ABORTED,PLA,20000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1KQVRC1C0G00,iwatch case,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1KWEGVING9UQ,Food Jar,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1LHGHF712MXT,C72 & C96 sleeves,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1MF15XLYIU1K,Kettle,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1MYAKZM6DXAW,gizga cable,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1PNPK93TVMBT,Headphone Pouch,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1PXEBTA5X5DE,Gizga Cables,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1Q4AM0U7NFQ1,Laptop Bags,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1QWHXGWCUBEN,Clone of ROI-Laptop Stand-Fast Moving-17-7-2025,DRAFT,PLA,6600.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1R7C5TRS,Laptop Sleeve,COMPLETED,PLA,4238.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1RHY689Y,Laptop Stand,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1SZ3AM1R2ZY5,C33 Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1T52IDM7VQFF,Food Jar,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1T8TUZC9WAPL,Sunglasses,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1TI6NFRKVJZO,G56 G57,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1TPRZ5WC6ITP,Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1U2KWWU0KDOE,Wallets,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1VKFAVGF2HWA,New backpacks,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1VYNYTJSZJFI,New backpacks,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WJMOBR44Q01,Chopper,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WP29QWM,Gizga Cable,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WQ0FFBS7VOA,Canister Bott,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WRVBO1BIYI8,sunglasses,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WUNOKG0R7BF,C33 Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1WY62QEYCJEX,Backpack,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1XG7XFWI6TCO,New Laptop Sleeve,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1XID6PAZ2NN9,tom martin,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1XWY93QJHKWB,Bottel & Flask,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1XX3CSG4OSRI,Signature Series,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1YR1AW3NVGDI,Gadget Organiser,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
1Z5M2SUQ4UG8,Clone of LTA-CPC-Travel Organiser-Slow Moving-3-9-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
21TXVIG7OFUK,Choppers,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
22K8WZ7VR4WY,ROI-Tablet Stand-Fast Moving-8-10-2025,PAUSED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
22LUIJ6ZP1FX,LunchBoxes,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
22QSFHCPMWF0,H36 37 lunchbox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
22S9E3VQ6NKZ,New Signature Series,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
230G4JKJHDQW,Choppng board,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
23EX6ZUXC3DC,LunchBox,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
23MHG2MO,Flasks Thermos,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
23NM4TEGUHC6,AY_Aircase_ROI_,ABORTED,PLA,13000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
248VE1M32NEN,Insulated LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
24984TB6J6BM,AY_HP_LB_CPC,ABORTED,PLA,40000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
24DK5QGN65X1,H38 LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
25NO9IPZXV1E,Earphone Case all,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
25PF82CA,Sunglasses,COMPLETED,PLA,2543.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
26KUJ4PY83VZ,Choppers,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
26YZNUA6,Car Holder,COMPLETED,PLA,1695.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
287Q860IW06G,FKSB-Datacable-Sep-D,BUDGET_MET,PLA,6000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
28SLHYBVZ5FC,1700ml LunchBox,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
290B28F3R89F,Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2958ZCXQ2D2L,DMAIPLAY,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
296Q3CHCKKKX,H36 37 lunchbox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
29XMMDCXI6F7,CPC-Charger-Slow Moving-2-7-2025,PAUSED,PLA,300.0,DAILY_BUDGET,0,0,0,0,0,0,0,0
2A3029IW,LunchBox,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ALKHLBYZEM0,Laptop Bag,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2AU8SPYMMBZX,Chopping Board,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2B2HT6R7KELC,Sleeve Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2CHO7LNRCMQ3,Canister,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2CIYXTSH2WJR,"C32, C34, C56",COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2DWBS746X3WI,Car Chargers,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2F2L6HR0V65Z,AY_Gizga_Bags_ROI_,ABORTED,PLA,4000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2F568GOCG68T,Sunglasses,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2F8EKE4HF62K,C51,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2G7YIYEFIL04,iWatch Strap,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2HCKYDX6I9NM,Sunglasses,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2HDNANMDS3JV,Clone of Aliens Laptop accessories Plug,ABORTED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2HGSP9GUNF3M,Duffle Bag,ABORTED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2I782P2U,Flasks Thermos,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ITNM5VLWNE7,Keyguard-13-2-2025,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2K7F6CV3FKKM,Laptop Sleeve,COMPLETED,PLA,5000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2KKFJ3SEQ6Z2,Wallets,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2KRAA43RAQZI,Laptop Sleeve,COMPLETED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2L0U7RND06W6,Duffel Bag,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2LYELLVTC53M,Insulated Lunch Box,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2LYPDNOH8YF2,New Laptop Sleeve,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2MJVFZFZ1Y12,sleeve slow,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ML9BWSFFEEJ,Laptop Bags,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2MXK9D54ZJZ1,Insulated LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2N6LO9R4L42P,Mobile Cables,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2N8Q26ZV36LP,Backpack,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2O1EVTYY,Bluetooth Earphone,ABORTED,PLA,1695.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2O32U2DBWPFT,Canister,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2OARMDS224L3,Signature Series,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2Q2D76RYYVFP,Insulated LunchBox,ABORTED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2Q5Y5PO7CWKZ,Canister Bott,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2QG72L80PJ2P,Vanity Box,COMPLETED,PLA,,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2QR8U5UT,Flasks,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2RKAI546,New AirCase Sleeve,ABORTED,PLA,2543.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2RLS0QJ3XDI3,Insulated LunchBox,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2S520M46AQG1,New backpacks,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2T2AQQZDH3FT,gizga cable,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2T70JF2HPK9P,Mousepads,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2TJFICWGG3R9,TZ-CS-103,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2TKAB77U5M4U,HDD Case,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2U5K4YC9GAL9,Chopper,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2U63QYSNDV90,Laptop Sleeve,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2UUTPUF5IKHY,Sunglasses,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2UVDCKMZH7ZW,Gadget Organizer,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2UYYKM3DSQCG,AirSound,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2VH9YI29,USB Cable,COMPLETED,PLA,4238.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2X015GCBVQTA,New BackPack,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2XLFBT1PZCZB,Laptop Bags,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2XV29ET8WUMX,Data Cable-30-12-2024,ABORTED,PLA,3000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2XZ3J05DEO3P,New Signature Series,ABORTED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2YFMH513,Micro USB Cable,COMPLETED,PLA,4238.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ZDQS8LWPVYP,gizga cable,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ZL0Z31J,Earphone Case Grey,COMPLETED,PLA,848.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
2ZOMF63IZDBR,Low Sale Sunglass,BUDGET_MET,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
30SXDQ63XUS1,New Laptop Bag,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
31EACDF5TPI0,Chopping Board,ABORTED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
32J6SUBOLFRM,New backpacks,COMPLETED,PLA,1000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
33VXZQHG1OXM,Wallets,COMPLETED,PLA,2000.0,TOTAL_BUDGET,0,0,0,0,0,0,0,0
